audio,text,order,name,command

0,اتصل بمحمود,اتصل,محمود,call
4,اغلق الدردشة,اغلق الدردشة,,closeChat
5,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
6,اقرا رسائل علي,اقرا رسائل,علي,readMessages
7,ارسل رسالة نصية الى سليمان,رسالة نصية,سليمان,textMessage
8,ارسل رسالة صوتية الى وليد,رسالة صوتية,وليد,voiceMessage
9,قم بحظر وائل,حظر,وائل,block
10,قم بفك الحظر عن سيد,فك الحظر,سيد,unblock
11,اتصل باسعد سعيد,اتصل,اسعد سعيد,call
12,انهي المكالمة,انهي المكالمة,,endCall
13,افتح الدردشة مع مهاب,افتح الدردشة,مهاب,openChat
14,اغلق الدردشة,اغلق الدردشة,,closeChat
15,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
16,اقرا رسائل اسعد,اقرا رسائل,اسعد,readMessages
1,اتصل على هاني,اتصل,هاني,call
17,ارسل رسالة نصية الى عبدالله علاء,رسالة نصية,عبدالله علاء,textMessage
18,ارسل رسالة صوتية الى طارق,رسالة صوتية,طارق,voiceMessage
19,قم بحظر محمد,حظر,محمد,block
20,قم بفك الحظر عن علاء,فك الحظر,علاء,unblock
21,اتصل على سامر,اتصل,سامر,call
3,افتح الدردشة مع صلاح,افتح الدردشة,صلاح,openChat
22,انهي الاتصال,انهي الاتصال,,endCall
23,افتح الشات مع وائل سلمان,افتح الشات,وائل سلمان,openChat
24,اغلق الشات,اغلق الشات,,closeChat
2,انهي المكالمة,انهي المكالمة,,endCall
25,هل توجد محادثة مفتوحة,محادثة مفتوحة,,openedChat
26,اقرا الرسائل,اقرا الرسائل,,readMessages
27,رسالة نصية الى طارق,رسالة نصية,طارق,textMessage
30,فك الحظر عن سيد,فك الحظر,سيد,unblock
31,اتصل,اتصل,,call
29,حظر,حظر,,block
28,ارسل رسالة صوتية,رسالة صوتية,,voiceMessage
32,اغلق المكالمة,اغلق المكالمة,,endCall
33,ابدأ الدردشة مع سلمان,ابدأ الدردشة,سلمان,openChat
34,اغلق المحادثة,اغلق المحادثة,,closeChat
35,ما هي المحادثة الحالية,المحادثة الحالية,,openedChat
36,اقرا رسائل بهاء سعيد,اقرا رسائل,بهاء سعيد,readMessages
37,ارسل رسالة نصية,رسالة نصية,,textMessage
40,فك الحظر,فك الحظر,,unblock
41,اتصال,اتصال,,call
39,حظر سامي,حظر,سامي,block
38,ارسل رسالة صوتية الى ايهاب علاء,رسالة صوتية,ايهاب علاء,voiceMessage
42,اغلق الاتصال,اغلق الاتصال,,endCall
43,انهي المكالمة,انهي المكالمة,,openChat
44,افتح الدردشة مع اسعد,افتح الدردشة,اسعد,openChat
45,افتح الشات مع اسعد بهاء,افتح الشات,اسعد بهاء,openChat
46,ابدأ الدردشة مع سلمان علي,ابدأ الدردشة,سلمان علي,openChat
48,انهي المكالمة,انهي المكالمة,,endCall
47,اتصل بياسر,اتصل,ياسر,call
49,اغلق الدردشة,اغلق الدردشة,,closeChat
50,محادثة من مفتوحة الان,محادثة مفتوحة,,openedChat
51,اقرا رسائل اسعد,اقرا رسائل,اسعد,readMessages
52,ارسل رسالة نصية الى بهاء سعيد,رسالة نصية,بهاء سعيد,textMessage
53,ارسل رسالة صوتية الى محمود,رسالة صوتية,محمود,voiceMessage
54,قم بحظر بهاء عبدالرحمن,حظر,بهاء عبدالرحمن,block
55,قم بفك الحظر عن بهاء,فك الحظر,بهاء,unblock
56,افتح الدردشة مع علاء سعيد,افتح الدردشة,علاء سعيد,openChat
57,اتصل بهادي,اتصل,هادي,call
